# ESLint baseline (codigo producto, vendor excluido)
# Generado: 2026-08-25T11:50:58.205Z

backend/services/delivery-line-amount-stats.js errors=    1 warnings=  0 files=1
backend/services/pattern-learner.js           errors=    1 warnings=  0 files=1
backend/services/reparto-confirmation-contract.js errors=    1 warnings=  0 files=1
backend/services/reparto-confirmation-service.js errors=    1 warnings=  0 files=1
backend/services/reparto-receipt-service.js   errors=    1 warnings=  0 files=1
backend/services/team-commission.service.js   errors=    1 warnings=  0 files=1
backend/test-perf.js                          errors=    1 warnings=  0 files=1
backend/utils/delivery-status-check.js        errors=    1 warnings=  0 files=1
backend/utils/png-image-validator.js          errors=    1 warnings=  0 files=1
assets/load_planner                           errors=    0 warnings=  0 files=1
backend/.eslintrc.cjs                         errors=    0 warnings=  0 files=1
backend/__tests__/audit-client-ip.test.js     errors=    0 warnings=  0 files=1
backend/__tests__/audit-log.service.test.js   errors=    0 warnings=  0 files=1
backend/__tests__/auth-pin-readiness.test.js  errors=    0 warnings=  0 files=1
backend/__tests__/bolsa_route_contracts.test.js errors=    0 warnings=  0 files=1
backend/__tests__/cache_preloader_contracts.test.js errors=    0 warnings=  0 files=1
backend/__tests__/certify-reparto-confirm-local.test.js errors=    0 warnings=  0 files=1
backend/__tests__/chatbot_export.test.js      errors=    0 warnings=  0 files=1
backend/__tests__/chatbot_moderation.test.js  errors=    0 warnings=  0 files=1
backend/__tests__/chatbot_nlu.test.js         errors=    0 warnings=  0 files=1
backend/__tests__/chatbot_route_contracts.test.js errors=    0 warnings=  0 files=1
backend/__tests__/copy-javier-prod-to-test-defaults.test.js errors=    0 warnings=  0 files=1
backend/__tests__/db-config-fail-closed.test.js errors=    0 warnings=  0 files=1
backend/__tests__/db2-auth-repartidor.test.js errors=    0 warnings=  0 files=1
backend/__tests__/db2-schemas.test.js         errors=    0 warnings=  0 files=1
backend/__tests__/delivery-receipt-canonical.test.js errors=    0 warnings=  0 files=1
backend/__tests__/dsedac-exports.service.test.js errors=    0 warnings=  0 files=1
backend/__tests__/ecosystem-reparto-fail-closed.test.js errors=    0 warnings=  0 files=1
backend/__tests__/email-pdf-service.test.js   errors=    0 warnings=  0 files=1
backend/__tests__/entregas-bola-security.test.js errors=    0 warnings=  0 files=1
backend/__tests__/entregas-contract-hardening.test.js errors=    0 warnings=  0 files=1
backend/__tests__/entregas-email-route.test.js errors=    0 warnings=  0 files=1
backend/__tests__/entregas-route-gap-coverage.test.js errors=    0 warnings=  0 files=1
backend/__tests__/facturas-email-route.test.js errors=    0 warnings=  0 files=1
backend/__tests__/health-check-e2e.test.js    errors=    0 warnings=  0 files=1
backend/__tests__/http-cache-middleware.test.js errors=    0 warnings=  0 files=1
backend/__tests__/laclae-baja-sales-scope.test.js errors=    0 warnings=  0 files=1
backend/__tests__/liquidacion-pdf-service.test.js errors=    0 warnings=  0 files=1
backend/__tests__/load-env-reparto-overlay.test.js errors=    0 warnings=  0 files=1
backend/__tests__/metrics-health-security.test.js errors=    0 warnings=  0 files=1
backend/__tests__/objectives-hybrid.test.js   errors=    0 warnings=  0 files=1
backend/__tests__/objectives_by_client_contracts.test.js errors=    0 warnings=  0 files=1
backend/__tests__/pdf-total-footer-layout.test.js errors=    0 warnings=  0 files=1
backend/__tests__/pedidos-db2-22001-param-length.test.js errors=    0 warnings=  0 files=1
backend/__tests__/pedidos.test.js             errors=    0 warnings=  0 files=1
backend/__tests__/pedidos_stock_route_contracts.test.js errors=    0 warnings=  0 files=1
backend/__tests__/png-image-validator-adversarial.test.js errors=    0 warnings=  0 files=1
backend/__tests__/politec-quality-gate-contract.test.js errors=    0 warnings=  0 files=1
backend/__tests__/query-optimizer-compat.test.js errors=    0 warnings=  0 files=1
backend/__tests__/repartidor-finance-schema-fail-closed.test.js errors=    0 warnings=  0 files=1
backend/__tests__/repartidor-finanzas-http-gap-coverage.test.js errors=    0 warnings=  0 files=1
backend/__tests__/repartidor-liquidacion-closed-pdf-service.test.js errors=    0 warnings=  0 files=1
backend/__tests__/repartidor-liquidacion-contract.test.js errors=    0 warnings=  0 files=1
backend/__tests__/repartidor-liquidacion-pdf-route.test.js errors=    0 warnings=  0 files=1
backend/__tests__/repartidor-liquidacion-route.test.js errors=    0 warnings=  0 files=1
backend/__tests__/repartidor-objectives-detail.test.js errors=    0 warnings=  0 files=1
backend/__tests__/repartidor-route-db2-repository-isolation.test.js errors=    0 warnings=  0 files=1
backend/__tests__/repartidor-route-params.test.js errors=    0 warnings=  0 files=1
backend/__tests__/repartidor-rutero-orden-service.test.js errors=    0 warnings=  0 files=1
backend/__tests__/repartidor-rutero-route-optimizer-v1.test.js errors=    0 warnings=  0 files=1
backend/__tests__/repartidor-rutero-route-optimizer.test.js errors=    0 warnings=  0 files=1
backend/__tests__/repartidor-week-gap-coverage.test.js errors=    0 warnings=  0 files=1
backend/__tests__/reparto-canonical-route-auth.test.js errors=    0 warnings=  0 files=1
backend/__tests__/reparto-cobro-pdf-service.test.js errors=    0 warnings=  0 files=1
backend/__tests__/reparto-confirmation-actor-privilege.test.js errors=    0 warnings=  0 files=1
backend/__tests__/reparto-confirmation-bootstrap.test.js errors=    0 warnings=  0 files=1
backend/__tests__/reparto-confirmation-ddl-contract.test.js errors=    0 warnings=  0 files=1
backend/__tests__/reparto-confirmation-production-ddl.test.js errors=    0 warnings=  0 files=1
backend/__tests__/reparto-email-delivery-policy.test.js errors=    0 warnings=  0 files=1
backend/__tests__/reparto-finance-db2-transaction.test.js errors=    0 warnings=  0 files=1
backend/__tests__/reparto-finance-fleet-authorization.test.js errors=    0 warnings=  0 files=1
backend/__tests__/reparto-finance-seed.test.js errors=    0 warnings=  0 files=1
backend/__tests__/reparto-isolated-finance-ddl-contract.test.js errors=    0 warnings=  0 files=1
backend/__tests__/reparto-notification-scheduler.test.js errors=    0 warnings=  0 files=1
backend/__tests__/reparto-phase-a-data-status.test.js errors=    0 warnings=  0 files=1
backend/__tests__/reparto-receipt-pdf-service.test.js errors=    0 warnings=  0 files=1
backend/__tests__/reparto-receipt-route-http.test.js errors=    0 warnings=  0 files=1
backend/__tests__/reparto-receipt-service.test.js errors=    0 warnings=  0 files=1
backend/__tests__/reparto-route-error-security.test.js errors=    0 warnings=  0 files=1
backend/__tests__/reparto-route-mode.test.js  errors=    0 warnings=  0 files=1
backend/__tests__/reparto-route-mounts.test.js errors=    0 warnings=  0 files=1
backend/__tests__/reparto-runtime-config.test.js errors=    0 warnings=  0 files=1
backend/__tests__/reparto-runtime-production.test.js errors=    0 warnings=  0 files=1
backend/__tests__/reparto-server-startup.test.js errors=    0 warnings=  0 files=1
backend/__tests__/reparto-startup-mutation-policy.test.js errors=    0 warnings=  0 files=1
backend/__tests__/reparto-variance-pdf-service.test.js errors=    0 warnings=  0 files=1
backend/__tests__/routes-unit.test.js         errors=    0 warnings=  0 files=1
backend/__tests__/runtime-performance-config.test.js errors=    0 warnings=  0 files=1
backend/__tests__/typescript-auth-no-dsedac-dml.test.js errors=    0 warnings=  0 files=1
backend/__tests__/vendor-column-transition.test.js errors=    0 warnings=  0 files=1
backend/__tests__/vendor-pin-auth.test.js     errors=    0 warnings=  0 files=1
backend/__tests__/ventas-b-helpers.test.js    errors=    0 warnings=  0 files=1
backend/config/env.js                         errors=    0 warnings=  0 files=1
backend/config/feature-flags.js               errors=    0 warnings=  0 files=1
backend/config/load-env.js                    errors=    0 warnings=  0 files=1
backend/config/reparto-runtime.js             errors=    0 warnings=  0 files=1
backend/config/reparto-startup-mutation-policy.js errors=    0 warnings=  0 files=1
backend/ecosystem.config.js                   errors=    0 warnings=  0 files=1
backend/jest.config.js                        errors=    0 warnings=  0 files=1
backend/kpi/__tests__                         errors=    0 warnings=  0 files=2
backend/kpi/migrations                        errors=    0 warnings=  0 files=2
backend/middleware/compression.js             errors=    0 warnings=  0 files=1
backend/middleware/http-cache.js              errors=    0 warnings=  0 files=1
backend/migrations/schema-audit.js            errors=    0 warnings=  0 files=1
backend/repositories/reparto-cobros-db2-port.js errors=    0 warnings=  0 files=1
backend/routes/health-check-e2e.js            errors=    0 warnings=  0 files=1
backend/routes/objectives-hybrid-helpers.js   errors=    0 warnings=  0 files=1
backend/scripts/_apply_039_notifications.js   errors=    0 warnings=  0 files=1
backend/scripts/_backfill_test_ingresos_created_at.js errors=    0 warnings=  0 files=1
backend/scripts/_bolsa-mov-probe.js           errors=    0 warnings=  0 files=1
backend/scripts/_bootstrap_missing_test_objects.js errors=    0 warnings=  0 files=1
backend/scripts/_check_test_tables.js         errors=    0 warnings=  0 files=1
backend/scripts/_create_rutero_orden_test_table.js errors=    0 warnings=  0 files=1
backend/scripts/_fix_finanzas_logger.js       errors=    0 warnings=  0 files=1
backend/scripts/_fix_historico_status.js      errors=    0 warnings=  0 files=1
