Periodo Hasta AA-Actual;C.Ofi;Oficina Venta;C.Prev;Preventa;Cod.Cliente;Nombre Comercial;Cod.Interno;Cod.Cad;Cadena;Agrupacion;Tipo Establecimiento;Fecha Alta;Ult.Comp.Helados;Cuo.Anual Helados;Vta.Cum Helados;Cuo.Cum Helados;Desviaci¢n _;Desviaci¢n %;
05-2025 -> 05-2026;2866;LORCA;16;FRANCISCO JOSE ASENSIO ;401425613;CAFE BAR LA ESCUSA;10431;;;Bares y Cafeter¡as;BAR Y CAFETERIA;13/04/2026;06/05/2026;1000;3;137;-134;-98;
05-2025 -> 05-2026;2866;LORCA;15;ALFONSO SALAS;401425513;EL BARRIO;10428;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;01/04/2026;14/04/2026;1000;22;137;-115;-84;
05-2025 -> 05-2026;2866;LORCA;80;JUAN LUIS GALLEGO ;401424955;RTE. BUFFET LIBRE NAGOYA;32809;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;06/04/2026;06/05/2026;14000;1646;1918;-272;-14;
05-2025 -> 05-2026;2866;LORCA;33;DOMINGO GINER ;401424769;CAFETERIA SANTI 2;10423;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/04/2026;;1000;0;137;-137;-100;
05-2025 -> 05-2026;2866;LORCA;33;DOMINGO GINER ;401424703;GUSTO RISTORANTE PIZZERIA;10422;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/04/2026;;1000;0;137;-137;-100;
05-2025 -> 05-2026;2866;LORCA;83;JOSE ANTONIO SOLER;401424325;MAMBICHE;32907;;;Bares y Cafeter¡as;BAR Y CAFETERIA;26/03/2026;;1000;0;173;-173;-100;
05-2025 -> 05-2026;2866;LORCA;15;ALFONSO SALAS;401424315;MESON MURCIANO;10334;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;26/03/2026;28/03/2026;1000;53;173;-120;-69;
05-2025 -> 05-2026;2866;LORCA;35;RAUL MARTINEZ ;401424044;RESTAURANTE MORALES;39128;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;25/03/2026;28/03/2026;5000;725;866;-141;-16;
05-2025 -> 05-2026;2866;LORCA;02;BARTOLO .;401423949;CANTINA PURIAS;10414;;;Bares y Cafeter¡as;BAR Y CAFETERIA;23/03/2026;;1000;0;173;-173;-100;
05-2025 -> 05-2026;2866;LORCA;15;ALFONSO SALAS;401423838;DON JAMON;10225;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;23/03/2026;13/05/2026;1000;53;173;-120;-69;
05-2025 -> 05-2026;2866;LORCA;03;MARTIN MANCHON;401423819;HOTEL RTE.TEBAR;10412;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;23/03/2026;29/04/2026;6500;478;1126;-648;-58;
05-2025 -> 05-2026;2866;LORCA;33;DOMINGO GINER ;401423558;CHIRINGUITO;10411;000019711;VISTABELLA;Ocio;CHIRINGUITOS DE PLAYA/MERENDER;20/03/2026;;5000;0;866;-866;-100;
05-2025 -> 05-2026;2866;LORCA;16;FRANCISCO JOSE ASENSIO ;401423197;CAFETERIA OASIS VERA PLAY;10398;;;Bares y Cafeter¡as;BAR Y CAFETERIA;16/03/2026;08/05/2026;1000;3;173;-170;-98;
05-2025 -> 05-2026;2866;LORCA;16;FRANCISCO JOSE ASENSIO ;401423196;CAFETERIA OASIS;10397;;;Bares y Cafeter¡as;BAR Y CAFETERIA;17/03/2026;;1000;0;173;-173;-100;
05-2025 -> 05-2026;2866;LORCA;93;MARI CARMEN PREVENTA;401423182;ALEGRIA ANDARAX;39562;B8060; ALEGRIA HOTELS;Hoteles y Hostales;HOTELES Y HOSTALES;01/03/2026;;10000;0;1732;-1732;-100;
05-2025 -> 05-2026;2866;LORCA;83;JOSE ANTONIO SOLER;401423136;TIENDA DE PASO;32902;;;Conveniencia;TIENDA DE ALIMENTACION ETNICA ;16/03/2026;;1000;0;173;-173;-100;
05-2025 -> 05-2026;2866;LORCA;35;RAUL MARTINEZ ;401422870;EL BODEGON;30462;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/03/2026;25/03/2026;8000;958;1386;-427;-31;
05-2025 -> 05-2026;2866;LORCA;10;EDGAR WIDRIDO GRANDA;401422860;CARNICERIA JULIAN;10349;;;Varios;VARIOS/OTROS NO CLASIFICABLES;12/03/2026;01/05/2026;1000;93;173;-80;-46;
05-2025 -> 05-2026;2866;LORCA;35;RAUL MARTINEZ ;401422788;BAR LA 3" EDAD LA ISLETA;32900;;;Bares y Cafeter¡as;BAR Y CAFETERIA;09/03/2026;05/05/2026;15000;2246;2598;-352;-14;
05-2025 -> 05-2026;2866;LORCA;33;DOMINGO GINER ;401422786;HELADERIA DIMI;10404;;;Ocio;HELADERIAS/HORCHATERIAS;09/03/2026;;5000;0;866;-866;-100;
05-2025 -> 05-2026;2866;LORCA;35;RAUL MARTINEZ ;401422778;COGE LA LUNA;30262;;;Bares y Cafeter¡as;BAR Y CAFETERIA;11/03/2026;;1200;0;208;-208;-100;
05-2025 -> 05-2026;2866;LORCA;35;RAUL MARTINEZ ;401422751;BAR RESTAURANTE LA MAREA;32853;;;Bares y Cafeter¡as;BAR Y CAFETERIA;09/03/2026;;7000;0;1212;-1212;-100;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401422495;KIOSCO JUANILLO;31981;;;Impulso Tradicional;KIOSCO FIJO (NO PROPIEDAD NEST;01/03/2026;;12000;0;2078;-2078;-100;
05-2025 -> 05-2026;2866;LORCA;80;JUAN LUIS GALLEGO ;401421926;CINES DE VERANO AGUADULCE;35070;;;Varios;VARIOS/OTROS NO CLASIFICABLES;01/03/2026;;4000;0;693;-693;-100;
05-2025 -> 05-2026;2866;LORCA;03;MARTIN MANCHON;401421846;HELADERIA BETTY;10387;;;Ocio;HELADERIAS/HORCHATERIAS;01/03/2026;12/05/2026;15000;2304;2598;-294;-11;
05-2025 -> 05-2026;2866;LORCA;82;LUIS PARDO;401421472;SUPER TEO;35075;;;Hogar;SUPERMERCADOS CON 2 O MAS CAJA;16/02/2026;;4000;0;844;-844;-100;
05-2025 -> 05-2026;2866;LORCA;73;JOSE MIGUEL ANDUJAR;401421288;ALIMENTACION CRISVAN;32144;;;Conveniencia;TIENDA DE ALIMENTACION ETNICA ;16/02/2026;29/04/2026;5500;936;1160;-224;-19;
05-2025 -> 05-2026;2866;LORCA;13;JOAQUIN GARCIA;401421040;RESTAURANTE COTO RI¥ALES;7922;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;01/02/2026;;1000;0;211;-211;-100;
05-2025 -> 05-2026;2866;LORCA;72;JOSE MIGUEL  ACACIO;401420861;COMIDAS PARA LLEVAR LAS T;32161;;;Conveniencia;COMIDA PREPARADA/ASADORES DE P;09/02/2026;10/04/2026;4000;750;844;-94;-11;
05-2025 -> 05-2026;2866;LORCA;10;EDGAR WIDRIDO GRANDA;401420809;PIZZERIA LA POSADA;9479;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;09/02/2026;;1000;0;211;-211;-100;
