Periodo Hasta AA-Actual;C.Ofi;Oficina Venta;C.Prev;Preventa;Cod.Cliente;Nombre Comercial;CodigoInterno;Cod.Cad;Cadena;Agrupacion;Tipo Establecimiento;Fecha Alta;Ult.Comp.Helados;Ref.Cum Actual;Ref.Cum Anterior;Desviacion;Ref.Tot Anterior;Ref.SinCompra 1;Ref.SinCompra 2;Ref.SinCompra 3;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401230436;CHIRINGUITO LA BARRACA;30603;;;Ocio;CHIRINGUITOS DE PLAYA/MERENDER;01/02/2018;11/05/2026;16;36;-20;36;MDLZ MNBITCUP OREO 12x105;MDLZ BBTOBLERONE N1 20X90;EXTR DOBLE CHON2 16x120ML;
05-2025 -> 05-2026;2866;LORCA;33;DOMINGO GINER ;866011264;PANADERIA COYFER, S.L.;1264;000016366;PANADERIAS COYFER;Conveniencia;PASTELERIAS/PANADERIAS/FRUTERI;16/06/1998;28/04/2026;35;36;-1;36;PIRULO FRUIT JOY 24X65ML;EXTR LM CHESCK 16x110ML;EXTREME NATA N2 16X110ML;
05-2025 -> 05-2026;2866;LORCA;80;JUAN LUIS GALLEGO ;401377191;BAR EL TONEL 3;32679;000017417;BAR EL TONEL;Bares y Cafeter¡as;BAR Y CAFETERIA;01/02/2024;13/02/2026;0;7;-7;7;MDLZ SNDW OREO 24X110;NUII ALM.JAVA N5 20X90;PIRL MIKOLAPIZ N4 20x88ML;
05-2025 -> 05-2026;2866;LORCA;73;JOSE MIGUEL ANDUJAR;401399979;BAR LA OLLA ROTA;32765;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/02/2025;07/05/2026;17;19;-2;19;MAXIBON CHSCAKE 24X140ML ;CHOCOCLACK N2 24x90ML;PIRULO MANGO 36x70ML;
05-2025 -> 05-2026;2866;LORCA;93;MARI CARMEN PREVENTA;401361873;ALIPROX MOJACAR;39550;B8084;EROSKI CST;Conveniencia;TIENDA DE ALIMENTACION ETNICA ;01/06/2023;05/06/2025;0;15;-15;15;MDLZ BB MILKA N2 20X90ML;MAXIBON CLASIC N5 24X140 ;MAXIBON COOKIE N5 24x150;
05-2025 -> 05-2026;2866;LORCA;93;MARI CARMEN PREVENTA;401180555;E.S. GONGORA 96945 AGUDLC;30141;B6345;LOGISTA SA;Conveniencia;ESTACIONES DE SERVICIO / GASOL;22/10/2010;15/07/2025;0;10;-10;10;MAXIBON CLASIC N5 24X140 ;MAXIBON COOKIE N5 24x150;PIR FANTASMIKOS N5 18X75;
05-2025 -> 05-2026;2866;LORCA;16;FRANCISCO JOSE ASENSIO ;401205907;RESTAURANTE MARTIN MORALE;30784;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;08/05/2017;08/05/2026;0;36;-36;36;MDLZ BB MILKA N2 20X90ML;MDLZ BBTOBLERONE N1 20X90;MAXIBON CHSCAKE 24X140ML ;
05-2025 -> 05-2026;2866;LORCA;72;JOSE MIGUEL  ACACIO;401354143;COVIRAN DALIAS;32568;;;Hogar;SUPERMERCADOS CON 2 O MAS CAJA;01/04/2023;07/05/2026;6;7;-1;7;MAXIBON CHSCAKE 24X140ML ;EXTR CRML SALADO 16x110ML;PIRULO TROPICALN1 20x70ml;
05-2025 -> 05-2026;2866;LORCA;93;MARI CARMEN PREVENTA;401180585;KARTING BAR;30578;;;Bares y Cafeter¡as;BAR Y CAFETERIA;25/04/2011;14/04/2026;6;7;-1;7;EXTR DOBLE CHON2 16x120ML;;;
05-2025 -> 05-2026;2866;LORCA;35;RAUL MARTINEZ ;401269890;E.S.REDOIL LA MORENA;8245;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/05/2019;04/02/2026;35;36;-1;36;PIRULO FRUIT JOY 24X65ML;EXTR LM CHESCK 16x110ML;EXTREME NATA N2 16X110ML;
05-2025 -> 05-2026;2866;LORCA;73;JOSE MIGUEL ANDUJAR;401402726;CAFETERIA VERACRUZ;32825;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/03/2025;05/06/2025;0;19;-19;19;MAXIBON CHSCAKE 24X140ML ;MAXIBON CLASIC N5 24X140 ;MDLZ SNDW OREO 24X110;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401180310;MIRADOR DE POLARDA;30651;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;18/01/2002;05/03/2026;18;21;-3;21;CONO KIT KAT N5 16x110ML;EXTR LM CHESCK 16x110ML;MAXIBON CHSCAKE 24X140ML ;
05-2025 -> 05-2026;2866;LORCA;16;FRANCISCO JOSE ASENSIO ;401180518;PIZZERIA SINGAPUR I;30977;000013227;PIZZERIAS SINGAPUR@;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;18/02/2010;12/05/2026;9;10;-1;10;NUII ALM.JAVA N5 20X90;MAXIBON CHSCAKE 24X140ML ;EXTR LM CHESCK 16x110ML;
05-2025 -> 05-2026;2866;LORCA;73;JOSE MIGUEL ANDUJAR;401285109;MOLINOS 18;32691;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;31/01/2020;01/04/2025;0;19;-19;19;MAXIBON CHSCAKE 24X140ML ;MAXIBON COOKIE N5 24x150;MDLZ SNDW OREO 24X110;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401404697;CHIRINGUITO J.EMILIO E HI;32842;;;Ocio;CHIRINGUITOS DE PLAYA/MERENDER;01/04/2025;24/04/2026;5;22;-17;22;MDLZ BB MILKA N2 20X90ML;MAXIBON CHSCAKE 24X140ML ;MAXIBON COOKIE N5 24x150;
05-2025 -> 05-2026;2866;LORCA;02;BARTOLO .;401399427;BAR CARAMBA;9664;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/01/2025;05/11/2025;0;17;-17;17;NUII TEXPECAN N1 20X90;MAXIBON CHSCAKE 24X140ML ;NUII ALM.JAVA N5 20X90;
05-2025 -> 05-2026;2866;LORCA;02;BARTOLO .;401390554;CLUB PETANCA SAN DIEGO;9026;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/07/2024;24/07/2025;0;9;-9;9;MAXIBON CLASIC N5 24X140 ;PIRULO SANDIA N4 36x73ML;NUII NA CH.NEG N2 20x90;
05-2025 -> 05-2026;2866;LORCA;93;MARI CARMEN PREVENTA;401180315;BAR EL PILAR (HELADO);31797;;;Bares y Cafeter¡as;BAR Y CAFETERIA;23/04/2002;07/05/2026;3;4;-1;4;BOKA ZAS NATA N4 24x100ML;;;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401180211;ESTANCO(SELFA VILLANUEVA);30566;;;Conveniencia;PASTELERIAS/PANADERIAS/FRUTERI;01/12/1997;13/05/2026;5;7;-2;7;BOKA ZAS NATA N4 24x100ML;PIRULO SANDIA N4 36x73ML;CHOCOCLACK N2 24x90ML;
