Semana-A¤o;C.Ofi;Oficina Venta;Cod.Cliente Winter;Nombre Comercial;CodigoInterno;Canal;Cuota Anual;Cuota Mes;Venta Mes;Dif. Mes;Cuota Cum;Venta Cum;Dif. Cum;
19-2026;2866;LORCA;401311655;SIMONS CAFE PUB;9559;HELADO;1469,19;61,11;0,00;61,11;559,54;0,00;559,54;
19-2026;2866;LORCA;401377722;CANDY SHOP;8569;HELADO;1261,44;6,29;0,00;6,29;796,72;710,76;85,96;
19-2026;2866;LORCA;401254485;RESTAURANTE EL REENCUENTR;31732;HELADO;933,13;20,40;0,00;20,40;542,55;0,00;542,55;
19-2026;2866;LORCA;401332867;BAR EL PALILLON;6612;HELADO;669,16;6,13;0,00;6,13;630,86;591,92;38,94;
19-2026;2866;LORCA;401127128;CAMPING LOS MADRILES;2150;HELADO;3607,28;78,66;0,00;78,66;1118,22;923,20;195,02;
19-2026;2866;LORCA;401359151;SUPERMERCADO ARRECIFE;32616;HELADO;7390,00;195,62;0,00;195,62;1376,01;1047,16;328,85;
19-2026;2866;LORCA;401318028;SUPER TOYO;32266;HELADO;7832,38;315,31;0,00;315,31;1701,13;2821,00;-1119,87;
19-2026;2866;LORCA;401427876;CAFETERERIA LA MURALLA;10460;HELADO;3000,00;77,40;0,00;77,40;0,00;0,00;0,00;
19-2026;2866;LORCA;401299433;E.S.ENERGY Y CARBURANTES;32074;HELADO;1741,73;73,85;0,00;73,85;393,66;685,20;-291,54;
19-2026;2866;LORCA;401288033;CONGECAR;2040;HELADO;1840,88;64,52;0,00;64,52;1392,92;767,32;625,60;
19-2026;2866;LORCA;401331669;15456 E.S.VIRGEN D CABEZA;8942;HELADO;1294,59;31,54;0,00;31,54;0,00;725,16;-725,16;
19-2026;2866;LORCA;401266544;CRCA VILLA AFRICA, S.L.;31889;HELADO;4708,30;144,08;0,00;144,08;782,90;925,02;-142,12;
19-2026;2866;LORCA;401350325;SUPERTERREROS;3048;HELADO;4251,14;115,04;0,00;115,04;1061,15;0,00;1061,15;
19-2026;2866;LORCA;401180406;EST. DE SERVICIO B.P.;30046;HELADO;2268,12;204,86;0,00;204,86;0,00;693,44;-693,44;
19-2026;2866;LORCA;401330027;RESTAURANTE AMARTE;32427;HELADO;833,21;19,23;0,00;19,23;418,00;0,00;418,00;
19-2026;2866;LORCA;401383858;KIOSCO LA FABRIQUILLA;39107;HELADO;42702,71;783,04;0,00;783,04;2413,02;1396,56;1016,46;
19-2026;2866;LORCA;401378983;RODRIGUEZ CASA¥AS ANGELES;32690;HELADO;837,69;29,24;0,00;29,24;298,94;0,00;298,94;
19-2026;2866;LORCA;401328341;HELADERIA VERA PLAYA;7824;HELADO;17564,91;272,93;0,00;272,93;3242,39;2571,56;670,83;
19-2026;2866;LORCA;401407459;CAFE BAR EL PINTOR DE UVA;32854;HELADO;1061,91;27,03;0,00;27,03;206,68;392,06;-185,38;
19-2026;2866;LORCA;401424325;MAMBICHE;32907;HELADO;1000,00;25,80;0,00;25,80;147,40;0,00;147,40;
19-2026;2866;LORCA;401180310;MIRADOR DE POLARDA;30651;HELADO;4737,65;97,19;0,00;97,19;846,05;699,96;146,09;
19-2026;2866;LORCA;401180554;ACEBUCHE IMPULSO;30140;HELADO;44093,48;1235,28;0,00;1235,28;0,00;0,00;0,00;
19-2026;2866;LORCA;401406119;SUPERMERCADO TOMASA;9688;HELADO;846,40;148,88;0,00;148,88;139,48;0,00;139,48;
19-2026;2866;LORCA;401356822;CAFE BAR BARLOVENTO;32223;HELADO;641,69;80,53;0,00;80,53;0,00;397,04;-397,04;
19-2026;2866;LORCA;401349494;RESTAURANTE MAR AZUL;32683;HELADO;5516,36;207,99;0,00;207,99;995,28;1160,68;-165,40;
19-2026;2866;LORCA;401408078;BAR RELAX;9104;HELADO;571,36;109,85;0,00;109,85;113,66;0,00;113,66;
19-2026;2866;LORCA;401408301;CHIRINGUITO RINCON DEL PT;30463;HELADO;4563,46;234,87;0,00;234,87;849,54;0,00;849,54;
19-2026;2866;LORCA;401180479;ASADOR DE POLLOS ANA;30095;HELADO;896,54;17,57;0,00;17,57;428,40;411,40;17,00;
19-2026;2866;LORCA;866015541;RESTAURANTE EL MIRADOR;6556;HELADO;1359,79;32,99;0,00;32,99;648,42;495,96;152,46;
